time, CO2(ppm), TVOC, temp
20:32:08.264, 526, 19, 411
20:32:09.244, 553, 23, 413
20:32:10.259, 564, 24, 413
20:32:11.283, 536, 20, 409
20:32:12.264, 529, 19, 411
20:32:13.284, 543, 21, 412
20:32:14.257, 564, 24, 410
20:32:15.281, 531, 19, 411
20:32:16.269, 540, 21, 411
20:32:17.286, 560, 24, 411
20:32:18.307, 564, 24, 411
20:32:19.280, 567, 25, 410, fire
20:32:20.303, 574, 26, 411
20:32:21.281, 560, 24, 413
20:32:22.303, 540, 21, 414
20:32:23.328, 578, 27, 410
20:32:24.306, 1496, 169, 409
20:32:25.335, 2351, 1466, 411
20:32:26.311, 2554, 1897, 414
20:32:27.337, 3117, 3102, 411
20:32:28.318, 3263, 3414, 411
20:32:29.341, 2370, 1505, 413
20:32:30.316, 1914, 607, 416
20:32:31.340, 1723, 360, 416
20:32:32.365, 2837, 2517, 419
20:32:33.346, 2618, 2039, 421
20:32:34.370, 2478, 1728, 421
20:32:35.348, 3878, 4742, 422
20:32:36.372, 3147, 3168, 420
20:32:37.348, 1813, 465, 420
20:32:38.367, 1676, 314, 421
20:32:39.394, 1671, 310, 418
20:32:40.373, 1627, 269, 420
20:32:40.886, 3763, 4481, 422
20:32:41.862, 1902, 588, 418
20:32:42.888, 2324, 1413, 417
20:32:43.907, 2033, 806, 419
20:32:44.885, 2132, 990, 417
20:32:45.911, 1623, 265, 421
20:32:46.889, 1270, 132, 420
20:32:47.914, 1144, 113, 421
20:32:48.896, 1975, 703, 418
20:32:49.920, 2056, 836, 418
20:32:50.897, 1627, 269, 418
20:32:51.918, 7220, 11852, 418
20:32:52.943, 2735, 2292, 421
20:32:53.923, 2652, 2105, 419
20:32:54.948, 1537, 197, 421
20:32:55.928, 1568, 220, 416
20:32:56.955, 1803, 452, 418
20:32:57.934, 1631, 273, 418
20:32:58.956, 3008, 2872, 419
20:32:59.932, 2014, 771, 421
20:33:00.958, 6665, 10691, 418
20:33:01.984, 3023, 2897, 417
20:33:02.963, 2837, 2517, 416
20:33:03.986, 1956, 672, 418
20:33:04.960, 3808, 4568, 418
20:33:05.986, 3471, 3855, 420
20:33:06.963, 3084, 3029, 417
20:33:07.986, 3229, 3341, 420
20:33:08.968, 2242, 1225, 418, end
20:33:09.990, 2388, 1546, 416
20:33:11.013, 2020, 784, 418
20:33:11.990, 1824, 480, 417
20:33:13.018, 1640, 281, 418
20:33:14.002, 1663, 301, 420
20:33:15.024, 1568, 220, 416
20:33:15.999, 1587, 234, 418
20:33:17.022, 1603, 248, 419
20:33:18.003, 1665, 304, 416
20:33:19.027, 1723, 360, 420
20:33:20.052, 1926, 625, 421
20:33:21.030, 2255, 1258, 417
20:33:22.052, 2370, 1505, 420
20:33:23.028, 2426, 1628, 416
20:33:24.056, 2516, 1814, 417
20:33:25.035, 2641, 2083, 421
20:33:26.060, 2676, 2159, 417
20:33:27.041, 2457, 1688, 418
20:33:28.066, 2222, 1188, 419